Field_subtype,rpd,Source,all fileds,Sources,like_fields,
PropertyDetails,xx,imapp_tax,Lot,imapp_tax,,
PropertyDetails,xx,imapp_tax,Lot Depth,imapp_tax,,
PropertyDetails,xx,imapp_tax,Lot Depth (ft),imapp_tax,,
PropertyDetails,xx,imapp_tax,Lot Frontage,imapp_tax,,
PropertyDetails,xx,imapp_tax,Lot Frontage (ft),imapp_tax,,
PropertyDetails,xx,imapp_tax,Lot Number,imapp_tax,,
PropertyDetails,xx,,lotsize,"imapp_tax,imapp_X_C,imapp_tax,mls_x_o,imapp_foreclose","Land Area (sf),Lot Size (sf),Lot Size (SqFt),Lot Size in SF,Lot Sq Footage",
PropertyDetails,xx,,lotsizeacres,"imapp_tax,imapp_X_C,mls_x_o","Land Area (acres),Lot Size (acres),Lot Size in Acres",
MLS_agentdetals,x,RPD,MaximumNumberOfPets,RPD,,
PropertyDetails,xx,mls_x_o,Middle School,"mls_x_o,imapp_X_C",,
MLS_agentdetals,x,RPD,MinimumLeasePeriod,RPD,,
MLS_agentdetals,xx,mls_x_o,MLS Area,"mls_x_o,imapp_X_C",,
MLS_agentdetals,x,RPD,mls_no,RPD,,
MLS_agentdetals,x,RPD,MlsStatus,kw_fsbo_X_C,"MLS Status,Listing Status,Status",
MLS_agentdetals,x,RPD,ModificationTimestamp,RPD,,
assesordetails,xx,imapp_foreclose,Mortgage 1 Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Balance,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Balloon Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Balloon Date,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Balloon Remarks,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Book #,imapp_foreclose,Mortgage 1 Document #,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Date,imapp_foreclose,Mortgage 1 Instrument Date,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Interest Rate,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Last Payment Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Last Payment Date,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Page #,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Position,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Rate Type,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Type,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Borrower,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 1 Lender,imapp_foreclose,,
assesordetails,xx,imapp_foreclose,Mortgage 2 Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Balance,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Balloon,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Balloon Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Balloon Remarks,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Book #,imapp_foreclose,Mortgage 2 Document #,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Date,imapp_foreclose,Mortgage 2 Instrument Date,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Interest Rate,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Last Payment Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Last Payment Date,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Page #,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Position,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Rate Type,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Type,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Borrower,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Lender,imapp_foreclose,,
assesordetails,xx,imapp_foreclose,Mortgage 3 Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Balance,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Balloon,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Balloon Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Balloon Remarks,imapp_foreclose,Mortgage 3 Document #,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Book #,imapp_foreclose,Mortgage 3 Instrument Date,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Date,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Interest Rate,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Last Payment Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Last Payment Date,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Page #,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Position,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Rate Type,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Type,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Borrower,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Lender,imapp_foreclose,,
assesordetails,xx,imapp_tax,Most Recent Sale Book,imapp_tax,,y
assesordetails,xx,imapp_tax,Most Recent Sale Date,imapp_tax,,y
assesordetails,xx,imapp_tax,Most Recent Sale Page,imapp_tax,,
assesordetails,xx,imapp_tax,Most Recent Sale Price,imapp_tax,,
MLS_agentdetals,x,RPD,MoveInDollars,RPD,,
litigationdetails ,xx,Real_foreclose_pre_running,My Bid,Real_foreclose_pre_running,,
